STATE,STATE NAME,POPULATION,GDP,Murder,Assault,UrbanPop,Rape
AL,Alabama,4833722,196906.1,13.2,236,58,21.2
AK,Alaska,735132,50161,10,263,48,44.5
AZ,Arizona,6626624,320550.6,8.1,294,80,31
AR,Arkansas,2959373,114943.5,8.8,190,50,19.5
CA,California,38332521,2663665.9,9,276,91,40.6
CO,Colorado,5268367,346011.3,7.9,204,78,38.7
CT,Connecticut,3596080,235888.6,3.3,110,77,11.1
DE,Delaware,925749,62056.2,5.9,238,72,15.8
FL,Florida,19552860,944000.8,15.4,335,80,31.9
GA,Georgia,9992167,536693,17.4,211,60,25.8
HI,Hawaii,1404054,70625.2,5.3,46,83,20.2
ID,Idaho,1612136,73655.4,2.6,120,54,14.2
IL,Illinois,12882135,737643.6,10.4,249,83,24
IN,Indiana,6570902,329863.3,7.2,113,65,21
IA,Iowa,3090416,169420.3,2.2,56,57,11.3
KS,Kansas,2893957,156770.1,6,115,66,18
KY,Kentucky,4395295,185535.1,9.7,109,52,16.3
LA,Louisiana,4625470,222296.8,15.4,249,66,22.2
ME,Maine,1328302,58757.3,2.1,83,51,7.8
MD,Maryland,5928814,353052.5,11.3,300,67,27.8
MA,Massachusetts,6692824,498577,4.4,149,85,16.3
MI,Michigan,9895622,445682.6,12.1,255,74,35.1
MN,Minnesota,5420380,326635.6,2.7,72,66,14.9
MS,Mississippi,2991207,99667.5,16.1,259,44,17.1
MO,Missouri,6044171,282654.2,9,178,70,28.2
MT,Montana,1015165,46158.1,6,109,53,16.4
NE,Nebraska,1868516,117664.9,4.3,102,62,16.5
NV,Nevada,2790136,145219.1,12.2,252,81,46
NH,New Hampshire,1323459,75543.1,2.1,57,56,9.5
NJ,New Jersey,8899339,535794.9,7.4,159,89,18.8
NM,New Mexico,2085287,92696.5,11.4,285,70,32.1
NY,New York,19651127,1420141,11.1,254,86,26.1
NC,North Carolina,9848060,499517.5,13,337,45,16.1
ND,North Dakota,723393,54581.1,0.8,45,44,7.3
OH,Ohio,11570808,589897.7,7.3,120,75,21.4
OK,Oklahoma,3850568,190893.8,6.6,151,68,20
OR,Oregon,3930065,212849.7,4.9,159,67,29.3
PA,Pennsylvania,12773801,683773.9,6.3,106,72,14.9
RI,Rhode Island,1051511,51415.1,3.4,174,87,8.3
SC,South Carolina,4774839,208480.5,14.4,279,48,22.5
SD,South Dakota,844877,46682.7,3.8,86,45,12.8
TN,Tennessee,6495978,316325.3,13.2,188,59,26.9
TX,Texas,26448193,1734321.1,12.7,201,80,25.5
UT,Utah,2900872,171370.1,3.2,120,80,22.9
VT,Vermont,626630,28648.5,2.2,48,32,11.2
VA,Virginia,8260405,473817.5,8.5,156,63,20.7
WA,Washington,6971406,532861.9,4,145,73,26.2
WV,West Virginia,1854304,69711.6,5.7,81,39,9.3
WI,Wisconsin,5742713,291715.8,2.6,53,66,10.8
WY,Wyoming,582658,36256.7,6.8,161,60,15.6